L1,L2,L3,YEAR,Month,CURRENCY,VALUE,VALUE_TYPE,CURRENCY_RATIO,EXCHANGE_RATE
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2021,12,USD,"627,15",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2021,12,VND,"14.523,84",Thực tế,9,23126.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2022,12,USD,"621,37",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2022,12,VND,"14.442,75",Dự kiến,9,23681.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2023,6,USD,"371,37",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ nước ngoài,2023,6,VND,"8.775,73",Dự kiến,9,23660.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2019,12,USD,"4.132,43",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2019,12,VND,"95.116,07",Thực tế,9,23143.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2020,12,USD,"4.205,03",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2020,12,VND,"97.597,99",Thực tế,9,23181.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2021,12,USD,"4.013,75",Thực tế,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2021,12,VND,"92.947,48",Thực tế,9,23126.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2022,12,USD,"3.774,17",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2022,12,VND,"87.678,95",Dự kiến,9,23681.0
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2023,6,USD,"1.979,50",Dự kiến,6,
TỔNG TRẢ NỢ TRONG KỲ,Tổng trả lãi và phí trong kỳ,Nợ trong nước,2023,6,VND,"46.773,63",Dự kiến,9,23660.0
